Green_Space_Density_Pct,Pollinator_Pop_Per_m2
5.0,24.983570765056164
5.762711864406779,23.715458155161024
6.525423728813559,29.552002012537358
7.288135593220339,35.83548826509097
8.050847457627118,28.956351770451114
8.813559322033898,30.863213520338846
9.576271186440678,41.83674204363865
10.338983050847457,39.68463127288319
11.101694915254237,35.406865358460834
11.864406779661017,42.373817167082365
12.627118644067796,39.25070814610718
13.389830508474576,41.14592750333516
14.152542372881356,46.59116729003356
14.915254237288135,37.72173436993135
15.677966101694915,40.57032609167212
16.440677966101696,48.29025726904938
17.203389830508474,47.944318974599064
17.966101694915253,56.4864909002645
18.728813559322035,52.281913520699035
19.491525423728813,51.66729505264558
20.25423728813559,67.96383706494674
21.016949152542374,61.413491378923254
21.779661016949152,64.78679356581249
22.54237288135593,59.232191272322545
23.305084745762713,65.54079824178086
24.06779661016949,70.72410447397306
24.83050847457627,66.32130329932916
25.59322033898305,75.86154093918599
26.35593220338983,72.88663705888055
27.11864406779661,76.33814142052513
27.881355932203387,76.69485676936148
28.64406779661017,90.87156041407012
29.406779661016948,83.44946302885269
30.169491525423727,80.13517416877983
30.93220338983051,91.44323303509222
31.694915254237287,83.13306988573811
32.45762711864407,92.18838577163395
33.22033898305085,83.25249683822825
33.983050847457626,88.31669687415192
34.7457627118644,97.84871295900663
35.50847457627118,102.463519340655
36.271186440677965,101.53480750764477
37.03389830508475,102.00650435077065
37.79661016949152,102.98600694578236
38.559322033898304,99.00569513290861
39.32203389830509,104.70586370378916
40.08474576271186,107.90867055198072
40.847457627118644,117.40425519889119
41.610169491525426,115.74351517665588
42.3728813559322,107.11700261301684
43.13559322033898,119.45940289782143
43.89830508474576,117.82035130978281
44.66101694915254,118.26793237135156
45.42372881355932,126.61770347810264
46.1864406779661,130.62109930739499
46.94915254237288,132.02928195151318
47.71186440677966,125.08357340083596
48.474576271186436,129.64037879871
49.23728813559322,134.74953749600084
50.0,139.8777256356118
